day,market-price,hash-rate,fees-usd-per-transaction
945,6348.02,43311667.3670944,3.04825644536002
946,7992.69,49641834.1361313,3.99058466169516
947,7265.05,54326123.0260958,3.40408771220541
948,7625.93,52659677.5344978,2.59633426451481
949,8744.42,55659279.4193742,2.24652118098193
950,8272.46,43386260.5763838,2.69191372733264
951,8134.92,57106701.9552403,2.70853250929368
952,7998.29,45982019.7561675,3.72025474710426
953,7917.58,48577778.9359511,5.90710825316984
954,8859.47,47882020.4805591,3.66167684671237
955,9281.7,53038545.7630809,2.66832443065582
956,10814.48,65193212.5004535,2.1068118419945
957,11132.85,64293187.5738079,2.14695186052901
958,10578.72,62321003.9058997,1.79393068587175
959,10955.16,70209738.5775326,1.64964443441377
960,12586.78,58125055.9333793,1.63909621219846
961,11389.1,65334365.1964341,0.919680288439669
962,9674.28,54520401.3018519,1.39939085568274
963,10587.41,71191928.9726661,1.43361245943909
964,9875.17,74380911.3910783,2.2461122888257
965,9501.33,63627044.6839344,2.23010787402228
966,10529.55,77517455.8473286,1.26480895604865
967,11465.67,75945274.2994312,1.71071832168382
968,11282.22,75945274.2994312,0.756380019554686
969,10016.96,77930771.6667366,0.928415616731284
970,10317.6,82514504.7903757,0.875537167107363
971,10111.98,77452265.232684,1.09443777488288
972,10360.28,68340234.0288388,1.12429108787714
973,9577.99,84033176.6576833,0.718465785558893
974,10621.29,72825124.7697365,0.958491614545631
975,10487.21,94779757.9723776,0.643133304464001
976,10159.32,84605659.6589586,0.757686622358845
977,10310.43,96346803.0777296,1.06976201979276
978,10275.88,89253786.9002281,0.671349035510914
979,9683.38,92800294.9889788,0.674920399304331
980,8193.9,100852756.01995,0.573480068078046
981,8322.92,93875521.3267456,0.693174097245866
982,8147.69,94509815.3897642,0.4365767164328
983,8587.92,103681264.292523,0.709897658487492
984,8283.76,87295825.4578357,1.16252624482986
985,8076.78,103461719.061139,1.16052627514748
986,8222.52,109281440.758328,1.22675299744174
987,8666.79,95285003.0093039,0.84726147816622
988,9433.35,91201360.0231908,0.941506154398722
989,9301.18,93923788.6805996,0.679099553741991
990,9343.34,91737090.3690835,0.89050913236974
991,9037.12,95479548.6213797,0.806160206599305
992,8632.32,99905752.8621059,0.796011329979424
993,8175.99,92950289.0552504,0.553872119316978
994,7286.35,111568229.030169,0.476905662317346
995,7163.63,89641525.0589222,0.60888858596641
996,7557.72,89641525.0589222,0.550241039690093
997,7192.85,93386357.4980277,0.638353332902171
998,7522.39,94736471.2539258,0.465031464230959
999,7189.16,97296916.4229509,0.379063082312015
1000,6879.54,90255692.208132,0.3642814071957
1001,7190.17,113287340.369223,0.31362859357195
1002,7250.69,82390792.9957983,0.797559971333301
1003,7301.07,99770100.8933494,0.41553243857684
1004,7175.68,96717718.3123778,0.635615160118378
1005,7351.57,92602070.7246171,0.458515308810101
1006,7817.92,102205248.429392,0.427680014249043
1007,8105.24,99607271.2200415,0.610528708582643
1008,8900.34,96958912.29362,0.539328694210698
1009,8722.26,114587805.437915,0.646349647840744
1010,8327.36,105038821.651422,0.629750954674672
1011,9279.81,119936535.919975,1.07157634286058
1012,9314.56,113785944.334335,0.711064131334146
1013,9755.66,106866528.80049,0.674567171104883
1014,9854.79,114190850.876276,0.696835433033085
1015,10368.53,109742275.18922,0.523003183862084
1016,10180.65,108969442.265353,0.586698423854668
1017,9669.63,109742275.18922,0.458046801973722
1018,8785.52,113169220.498612,1.08868300434723
1019,8534.17,114708937.784307,1.13799991384835
1020,9067.39,119328089.641393,1.78560484166505
1021,7931.94,108616241.391911,1.0702667382949
1022,5609.03,105324840.13761,0.740414420784793
1023,5357.61,82285031.3575081,0.595457236225901
1024,6189.85,104501989.824035,0.38605682483986
1025,6698.46,112492821.358516,0.594117983768802
1026,5885.41,101664512.290166,0.390110704535921
1027,6809.11,91290582.4646392,0.634051209521079
1028,7343.2,116188014.045904,0.515074176133559
1029,6873.24,116308064.119463,0.74743033347111
1030,6871.95,123623036.705593,1.30320406784667
1031,7259.36,111187583.309172,1.82151343648637
1032,7130.99,112649865.245436,2.45777629001632
1033,7699.27,111856556.335257,2.54708041668451
1034,8628.77,111856556.335257,4.95503458023075
1035,8885.93,126294576.814336,6.42914180341742
1036,9821.8,108878107.851694,3.69219349697898
1037,8814.53,95268344.370232,2.36918688128054
1038,9385.7,81658580.8887703,2.2550053508218
1039,9510.67,98579623.7035512,1.90321315927668
1040,8730.73,94064526.4346863,1.27630329010085
1041,9569.21,95569558.8576412,0.88455687970373
1042,10204.23,97074591.2805962,1.40363451252628
1043,9623.75,133797229.464477,0.981710394257909
1044,9775.15,111952783.837623,1.27653907153377
1045,9473.5,116048617.392658,0.673697335950307
1046,9454.81,97298323.0370428,1.50889758486723
1047,9284.78,112206937.050783,1.00015012677777
1048,9240.85,128684878.855444,1.28367046528809
1049,9185.35,115344676.145677,1.61181855013175
1050,9072.42,123188120.488637,2.23926806714143
1051,9256.23,118480294.227925,3.67601432725504
1052,9235.96,119264931.938044,2.51085427154793
1053,9193.51,117268964.179098,6.06362537624933
1054,9214.66,121580323.15627,4.39956743002628
1055,9613.11,138825759.064961,4.94176360603888
1056,11042.4,121437040.395232,5.03549580816253
1057,11343.88,114737065.752737,2.56059439243148
1058,11194.25,108037091.110241,5.21382821704613
1059,11767.6,130649505.528664,2.3972598274732753
1060,11573.11,123844534.076575,4.219870678434581
1061,11914.01,105309977.956271,3.5486845678575203
1062,11865.82,130584372.66577661,5.356555300517122
1063,11763.93,111720008.69546376,2.5571293773815347
1064,11534.75,127430634.91826336,2.0034358577317
1065,11923.25,125685009.78239675,2.4741851199823692
1066,10159.62,130921885.1899966,1.3891759718324936
1067,10227.83,136239328.01257572,2.7006032402489955
1068,10330.77,151760264.11527425,2.1059191899274934
1069,10943.89,142275247.6080696,4.083656083970861
1070,10430.46,123857644.31701957,3.7819971609232237
1071,10692.84,144020516.64769718,2.863405058363661
1072,10840.8,149781337.3136051,2.656080742140803
1073,10551.77,151592064.050859,1.7993792536301436
1074,10670.8,155408725.01316798,6.285089285809221
1075,11376.61,142937654.4874199,5.752067801423124
1076,11503.73,148693533.1916113,13.129840128849542
1077,11758.16,143146506.838782,11.871891136589499
1078,12944.52,151099090.55204767,7.673814934872026
1079,13651.47,99407296.41582084,5.213674989764986
1080,13810.32,124259120.51977606,2.6838456994318904
1081,14155.59,122675182.48120748,5.433656184584319
1082,15490.6,154387134.41512507,3.5079325984150387
1083,16295.57,115998982.07406694,4.421837643393106
1084,16725.15,137334450.8705656,7.405563838500065
1085,18687.45,147831351.5740483,4.686759043207698
1086,19172.52,135584967.41998515,4.1216454555904125
1087,17732.42,135399801.26976258,2.7188771318260834
1088,19226.97,149512250.29219317,12.046406024922556
1089,19377.66,142846099.00528008,11.916995795131013
1090,18247.76,131418411.08485769,7.297509672371263
1091,19276.59,129933875.82961763,8.410156419112946
1092,23150.79,146639659.8648542,8.400988666872713
1093,23824.99,142927263.41257942,11.26630534983695
1094,26443.21,137358668.73416725,10.977942573564283
1095,28856.59,153482070.38176647,16.36282244994702
1096,33000.78,159954205.87979275,9.705959227466364
1097,39486.04,136839436.24398455,11.292711587658864
1098,35544.94,151611247.4016758,7.720712671247752
1099,36828.52,150586847.08139417,15.105368318268411
1100,36020.13,144440445.1597046,14.267639368142085
1101,32099.74,143884925.38771522,11.45013229284553
1102,30419.17,150095785.47639358,28.50803937284562
1103,33136.46,124217201.7735671,18.903332523449883
1104,37002.09,174939225.83110696,25.060581577828714
1105,46364.3,152367873.16992718,30.85654781127625
1106,47471.4,167285007.6061438,15.321531752273685
1107,49160.1,147040325.15699264,20.081708400459792
1108,56001.2,152267677.07260144,13.73474769040813
1109,50624.84,168466366.12287825,21.52641955062327
1110,45113.92,140388638.43573186,22.08740214714156
1111,48448.91,160906977.89941573,21.676746170367544
1112,52299.33,149267953.88308737,14.137088191445995
1113,57253.28,152466552.89486787,12.71628388499337
1114,56872.38,145003155.2007135,18.10024900171318
1115,58085.8,169563074.61598912,15.770919488138981
1116,52508.23,167389189.0439892,18.804707104262462
1117,55783.71,164128360.68598944,18.95188877458195
1118,58736.92,160517766.38346806,39.39264581237137
1119,59054.1,165624244.467784,59.85844264985348
1120,58102.58,180576433.20445892,29.02194839114216
1121,63554.44,155272729.1885475,26.857866212967238
1122,60087.09,145361065.33971703,20.55797541656836
1123,53808.8,167634131.8030608,20.014748396079465
1124,49075.58,133638398.78006244,19.21120694446092
1125,53584.15,169978665.11499172,13.841469618791853
1126,57213.33,185429301.3867602,13.40578760877589
1127,57380.27,175184588.60296133,17.159382807974318
1128,56750,176209059.88134116,13.250583805575332
1129,46736.58,164348929.98192218,7.2217026237832
1130,36964.27,139447576.95435822,7.513880953319125
1131,34754.54,156878524.07365298,5.244371402720911
1132,38445.29,148163050.51400563,6.954110734164162
1133,37310.54,148572947.38247102,6.439971039413672
1134,36885.51,137063775.4021388,4.708340415988513
1135,33450.19,131832333.59289683,8.061537460447216
1136,35494.9,136724465.12868512,7.177179225940275
1137,38324.87,128812374.13671976,10.614911610227953
1138,35592.35,104040763.72581212,7.233005636592207
1139,34639.38,108995085.80799364,3.919572117822382
1140,34456.67,89177797.47926754,4.519262067207424
1141,33856.86,98706076.21227616,2.186896337683462
1142,34211.01,87820755.10899657,1.916524668756355
1143,33515.57,89248734.86686642,1.9146921479710364
1144,32814.61,91390704.50367121,2.2489527832586544
1145,31783.49,115543619.13247934,2.230378609406082
1146,32297.89,91755226.95814537,2.2598071680357603
1147,37318.14,115543619.13247934,2.438608452200614
1148,42214.15,112465862.12588961,2.453180620375733
1149,38138,98004603.29610927,2.8152116750038814
1150,44634.13,113858289.12342106,2.9780267481972347
1151,45611.46,108813934.5420037,2.111370266040749
1152,47056.41,124500915.70761941,2.4029998309880587
1153,46734.65,123727618.0945286,3.2468233458644935
1154,49523.5,119087832.41598378,3.5572621274723617
1155,49056.86,123466373.91035247,2.250638797028186
1156,47155.87,119963781.7426829,3.022143026203619
1157,49947.38,143606278.8744525,1.9618965571083138
1158,46078.38,125412870.36132078,2.260371308838653
1159,46059.12,145552163.4120438,2.1433706956650065
1160,47785.26,134567094.4752858,2.726000880745027
1161,42901.56,113928907.44351819,2.4517990686995383
1162,42815.56,135990412.4848306,3.266716401765169
1163,41011.16,122769122.38213871,3.2591038116745574
1164,47727.1,141656679.6716985,3.1953415249062393
1165,55343.76,139433297.2697835,4.062618197114784
1166,54625.74,144377740.43537864,3.090479025849927
1167,57397.74,139433297.2697835,3.164126507735802
1168,61971.59,154737198.72913387,3.700567588537313
1169,60697.06,144754153.64983496,2.7776062944643027
1170,60345.17,156733807.7449937,4.101072788891336
